WKT	OBJECTID	FULLNAME	ZONE	RULE	NOTE	IMPLEMENTD	ADPTDATE	AMDDATE1	AMDDATE2	AMDDATE3	STATUS	Shape_Leng	ENFORCE	Shape_Le_1
"LINESTRING (-118.47512962823635 34.009895503908233,-118.47426173686451 34.01040245979393)"	475	PINE ST	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	321.279326058		321.279326058
"LINESTRING (-118.47583313630309 34.010602260626676,-118.47496553605058 34.011108982429661)"	476	CEDAR ST	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	321.156355683		321.156355683
"LINESTRING (-118.4744219973141 34.009192098658374,-118.47355091916774 34.00969780160279)"	477	MAPLE ST	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	321.811339366		321.811339366
"LINESTRING (-118.47667099755971 34.009004850013021,-118.47531766454877 34.009786977811864)"	478	PINE ST	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	499.238753277		499.238753277
"LINESTRING (-118.47737578126184 34.009704810435466,-118.4760238306399 34.01049157639391)"	479	CEDAR ST	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	499.856714932		499.856714932
"LINESTRING (-118.47808896321018 34.010409471122692,-118.4767370379828 34.011194302175547)"	480	PEARL ST	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	499.444561288	05/30/11	499.444561288
"LINESTRING (-118.47884412046506 34.011154891768825,-118.47748312409713 34.011941335851837)"	481	PACIFIC ST	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	502.033641932		502.033641932
"LINESTRING (-118.47956444384971 34.01187103448607,-118.47820952619614 34.012660223124705)"	482	GRANT ST	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	501.09011328	12/13/10	501.09011328
"LINESTRING (-118.48028938693881 34.012591108737567,-118.47893136344082 34.013373228176249)"	483	BAY ST	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	500.391006269		500.391006269
"LINESTRING (-118.47596232848613 34.00829269859473,-118.47460651888821 34.009084507954462)"	484	MAPLE ST	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	501.873057145		501.873057145
"LINESTRING (-118.46287117550763 34.013435877952759,-118.46230347755461 34.012760860261338)"	485	21ST ST	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	299.906696805	12/12/11	299.906696805
"LINESTRING (-118.46427159000318 34.018448245689562,-118.46348566126599 34.018907665407582)"	486	PEARL ST	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	290.989275124		290.989275124
"LINESTRING (-118.46521081149098 34.01790277182311,-118.46443142154301 34.018354980075429)"	487	PEARL ST	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	287.86267837		287.86267837
"LINESTRING (-118.4661591776002 34.017349858207858,-118.46537563315553 34.01780737252335)"	488	PEARL ST	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	290.002109439		290.002109439
"LINESTRING (-118.46711266927119 34.016804279213922,-118.46631782369259 34.017257549389576)"	489	PEARL ST	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	291.938530536		291.938530536
"LINESTRING (-118.46147944233056 34.016671931286012,-118.46094007797169 34.016031459099871)"	490	CLOVERFIELD BLVD	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	284.67978728		284.67978728
"LINESTRING (-118.46197184075191 34.017256517108542,-118.46147944233056 34.016671931286012)"	491	CLOVERFIELD BLVD	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	259.85559082		259.85559082
"LINESTRING (-118.47433320355114 34.022246442153921,-118.47426556094507 34.022301349109675)"	492	MICHIGAN AVE	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	28.6251900418		28.6251900418
"LINESTRING (-118.47426556094507 34.022301349109675,-118.4738794665876 34.022616664741079)"	493	MICHIGAN AVE	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	163.875440131		163.875440131
"LINESTRING (-118.46388678588612 34.019529888727561,-118.46346941932147 34.01903404187108)"	494	CLOVERFIELD BLVD	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	220.358110512		220.358110512
"LINESTRING (-118.4652280032612 34.02112354514545,-118.46388678588612 34.019529888727561)"	495	CLOVERFIELD BLVD	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	708.194835828		708.194835828
"LINESTRING (-118.46551189070601 34.021461047611773,-118.4652280032612 34.02112354514545)"	496	CLOVERFIELD BLVD	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	149.95325492		149.95325492
"LINESTRING (-118.46219234774075 34.012628505087797,-118.46162209208137 34.011949813093672)"	497	21ST ST	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	301.447604685	07/22/13	301.447604685
"LINESTRING (-118.46355172746703 34.014245694446103,-118.46298316299519 34.013569455313721)"	498	21ST ST	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	300.420471665		300.420471665
"LINESTRING (-118.46868843800397 34.022100468215051,-118.46760260596294 34.022977906494859)"	499	VIRGINIA AVE	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	458.501213986		458.501213986
"LINESTRING (-118.46876287759611 34.022040050357766,-118.46868843800397 34.022100468215051)"	500	VIRGINIA AVE	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	31.4999822739		31.4999822739
"LINESTRING (-118.46883849945287 34.02197867403801,-118.46876287759611 34.022040050357766)"	501	VIRGINIA AVE	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	32.0000023742		32.0000023742
"LINESTRING (-118.46760260596294 34.022977906494859,-118.4675148716386 34.023049111509309)"	502	VIRGINIA AVE	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	37.1247427658		37.1247427658
"LINESTRING (-118.46964962037235 34.021322253043827,-118.46883849945287 34.02197867403801)"	503	VIRGINIA AVE	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	342.750343921		342.750343921
"LINESTRING (-118.46971076717595 34.021272624505492,-118.46964962037235 34.021322253043827)"	504	VIRGINIA AVE	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	25.875001957		25.875001957
"LINESTRING (-118.46977575301055 34.021219877910589,-118.46971076717595 34.021272624505492)"	505	VIRGINIA AVE	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	27.5000979571		27.5000979571
"LINESTRING (-118.47046935632048 34.020654988996384,-118.46977575301055 34.021219877910589)"	506	VIRGINIA AVE	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	294.000455639		294.000455639
"LINESTRING (-118.46937250292699 34.024152712241829,-118.46908232677104 34.024204033132584)"	507	DELAWARE AVE	L									89.8890571864		89.8890571864
"LINESTRING (-118.46908232677104 34.024204033132584,-118.46892728488734 34.024232015120354)"	508	DELAWARE AVE	L									48.0707797996		48.0707797996
"LINESTRING (-118.46980287266445 34.023805333443207,-118.46937250292699 34.024152712241829)"	509	DELAWARE AVE	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	181.625588754		181.625588754
"LINESTRING (-118.47025778624882 34.023436109748772,-118.46980287266445 34.023805333443207)"	510	DELAWARE AVE	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	192.500010052		192.500010052
"LINESTRING (-118.47032543240626 34.023381205936737,-118.47025778624882 34.023436109748772)"	511	DELAWARE AVE	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	28.6249621288		28.6249621288
"LINESTRING (-118.47115924187267 34.022710199577809,-118.47039987195575 34.023320787065636)"	512	DELAWARE AVE	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	319.87864913		319.87864913
"LINESTRING (-118.47039987195575 34.023320787065636,-118.47032543240626 34.023381205936737)"	513	DELAWARE AVE	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	31.4999822632		31.4999822632
"LINESTRING (-118.47122865875443 34.022653856707414,-118.47115924187267 34.022710199577809)"	514	DELAWARE AVE	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	29.3748661819		29.3748661819
"LINESTRING (-118.47130457467247 34.022592238780938,-118.47122865875443 34.022653856707414)"	515	DELAWARE AVE	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	32.1250623451		32.1250623451
"LINESTRING (-118.47203773047629 34.021997156231187,-118.47130457467247 34.022592238780938)"	516	DELAWARE AVE	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	310.249830722		310.249830722
"LINESTRING (-118.47300570490422 34.021211457199421,-118.4722161443471 34.021852340746385)"	517	DELAWARE AVE	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	334.124996382		334.124996382
"LINESTRING (-118.47394861432583 34.020442245013484,-118.4731466018257 34.021097090652859)"	518	DELAWARE AVE	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	340.376712313		340.376712313
"LINESTRING (-118.47521789277562 34.021526397647889,-118.47441502402394 34.022180027232231)"	519	MICHIGAN AVE	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	340.25022939	11/19/12	340.25022939
"LINESTRING (-118.47441502402394 34.022180027232231,-118.47433320355114 34.022246442153921)"	520	MICHIGAN AVE	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	34.6249025556	11/19/12	34.6249025556
"LINESTRING (-118.47487212821294 34.019700268608233,-118.47408537228762 34.020331233806445)"	521	DELAWARE AVE	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	331.006007811		331.006007811
"LINESTRING (-118.47613615112934 34.020784840613942,-118.47535465190802 34.021415384991698)"	522	MICHIGAN AVE	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	329.75173425		329.75173425
"LINESTRING (-118.47591297452441 34.018857267079824,-118.47581845773998 34.018933993446375)"	523	DELAWARE AVE	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	39.9999989213		39.9999989213
"LINESTRING (-118.47600601468527 34.018781739193514,-118.47591297452441 34.018857267079824)"	524	DELAWARE AVE	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	39.3751548392	4/9/12	39.3751548392
"LINESTRING (-118.47638230768248 34.018476271331387,-118.47600601468527 34.018781739193514)"	525	DELAWARE AVE	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	159.250091622	4/9/12	159.250091622
"LINESTRING (-118.47581845773998 34.018933993446375,-118.47506379369854 34.019546602283043)"	526	DELAWARE AVE	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	319.374919354		319.374919354
"LINESTRING (-118.47812481690595 34.019172393379655,-118.47803269412458 34.019245260644432)"	527	MICHIGAN AVE	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	38.5033434146		38.5033434146
"LINESTRING (-118.47821755905575 34.019097103868312,-118.47812481690595 34.019172393379655)"	528	MICHIGAN AVE	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		no	6/14/88	10/8/91	1/14/97	12/7/99	Pre-approved (petition needed)	39.2498588471		39.2498588471
"LINESTRING (-118.47897828108309 34.018487211689219,-118.47821755905575 34.019097103868312)"	529	MICHIGAN AVE	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		no	6/14/88	10/8/91	1/14/97	12/7/99	Pre-approved (petition needed)	320.006358015		320.006358015
"LINESTRING (-118.47803269412458 34.019245260644432,-118.47727065906737 34.019863877092327)"	530	MICHIGAN AVE	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	322.499839657		322.499839657
"LINESTRING (-118.47708635127758 34.020013495205468,-118.47633316326099 34.020624913448763)"	531	MICHIGAN AVE	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	318.750075272		318.750075272
"LINESTRING (-118.47866290348196 34.016480942596424,-118.47739144069709 34.015389030675465)"	532	EUCLID ST	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	553.502265337		553.502265337
"LINESTRING (-118.47994907598904 34.017585868633994,-118.47866290348196 34.016480942596424)"	533	EUCLID ST	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	560.001946033		560.001946033
"LINESTRING (-118.48048927988869 34.018047247841814,-118.48008729436417 34.017703918741816)"	534	EUCLID ST	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		no	6/14/88	10/8/91	1/14/97	12/7/99	Pre-approved (petition needed)	174.50018875		174.50018875
"LINESTRING (-118.47992370347905 34.017719680804667,-118.47916553600193 34.018335192609925)"	535	MICHIGAN AVE	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		yes	6/14/88	10/8/91	1/14/97	12/7/99	Implemented	320.874963461		320.874963461
"LINESTRING (-118.48086887214281 34.016948496779264,-118.48011302187753 34.017565981498763)"	536	MICHIGAN AVE	L	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."		no	6/14/88	10/8/91	1/14/97	12/7/99	Pre-approved (petition needed)	320.876471556		320.876471556
"LINESTRING (-118.47324256905098 34.042917665898784,-118.4712564790014 34.041217661678964)"	537	CENTINELA AVE	LL	"2 hour parking 9AM-6PM Mon-Sat, except by permit."		yes	2/24/98	1/10/06			Implemented	863.000596248		863.000596248
"LINESTRING (-118.4733105430121 34.04297571087168,-118.47324256905098 34.042917665898784)"	538	CENTINELA AVE	UNK									29.5001540676		29.5001540676
"LINESTRING (-118.4888058397927 34.007230085211972,-118.48744507126388 34.008185455501071)"	539	BAY ST	M	"No parking 10PM-2AM, 2 hour parking 9AM-10PM daily, except by permit."		yes	9/25/90				Implemented	539.411514682		539.411514682
"LINESTRING (-118.48801820253473 34.006449652325067,-118.48665920901763 34.007403574907478)"	540	BICKNELL AVE	M	"No parking 10PM-2AM, 2 hour parking 9AM-10PM daily, except by permit."		yes	9/25/90				Implemented	538.663582922		538.663582922
"LINESTRING (-118.4872334735029 34.005670701908493,-118.48587034955035 34.006627973342276)"	541	PACIFIC ST	M	"No parking 10PM-2AM, 2 hour parking 9AM-10PM daily, except by permit."		yes	9/25/90				Implemented	540.409157553		540.409157553
"LINESTRING (-118.4865053297373 34.007511262536596,-118.48576333432162 34.008031282671105)"	542	BICKNELL AVE	M	"No parking 10PM-2AM, 2 hour parking 9AM-10PM daily, except by permit."		yes	9/25/90				Implemented	293.912480803		293.912480803
"LINESTRING (-118.48781731433635 34.005269491613554,-118.48743801942908 34.005529540267389)"	543	PACIFIC ST	M	"No parking 10PM-2AM, 2 hour parking 9AM-10PM daily, except by permit."		yes	9/25/90				Implemented	148.900513584		148.900513584
"LINESTRING (-118.4886792623463 34.005995324455647,-118.48860676945978 34.006044601085605)"	544	BICKNELL AVE	M	"No parking 10PM-2AM, 2 hour parking 9AM-10PM daily, except by permit."		yes	9/25/90				Implemented	28.3604296412		28.3604296412
"LINESTRING (-118.48860676945978 34.006044601085605,-118.48822068147983 34.006310167354698)"	545	BICKNELL AVE	M	"No parking 10PM-2AM, 2 hour parking 9AM-10PM daily, except by permit."		yes	9/25/90				Implemented	151.765598986		151.765598986
"LINESTRING (-118.48947260087091 34.006765368543611,-118.48900982623954 34.007087457267019)"	546	BAY ST	M	"No parking 10PM-2AM, 2 hour parking 9AM-10PM daily, except by permit."		no	9/25/90				Pre-approved (petition needed)	182.786817324		182.786817324
"LINESTRING (-118.48807714723392 34.008934869394245,-118.48743364965925 34.008304113070601)"	547	3RD ST	M	"No parking 10PM-2AM, 2 hour parking 9AM-10PM daily, except by permit."		yes	9/25/90				Implemented	301.206977307		301.206977307
"LINESTRING (-118.48730893249619 34.008180869183761,-118.48667188489569 34.007548717907966)"	548	3RD ST	M	"No parking 10PM-2AM, 2 hour parking 9AM-10PM daily, except by permit."		yes	9/25/90				Implemented	300.334796201		300.334796201
"LINESTRING (-118.48649631618494 34.007374659429431,-118.485856062227 34.006743199315054)"	549	3RD ST	M	"No parking 10PM-2AM, 2 hour parking 9AM-10PM daily, except by permit."		yes	9/25/90				Implemented	300.769408756		300.769408756
"LINESTRING (-118.48573049283463 34.006618730268599,-118.4850957721212 34.005988538533508)"	550	3RD ST	M	"No parking 10PM-2AM, 2 hour parking 9AM-10PM daily, except by permit."		yes	9/25/90				Implemented	299.337539153		299.337539153
"LINESTRING (-118.4846230310656 34.013908102373414,-118.48389597054701 34.014496523542277)"	551	MICHIGAN AVE	MM	"2 hour parking 9am-6pm daily; No parking 6pm-9am daily"		yes	3/5/02	3/23/04			Implemented	307.250756007		307.250756007
"LINESTRING (-118.48370521859948 34.014649484475683,-118.48294480345523 34.015263052067567)"	552	MICHIGAN AVE	MM	"2 hour parking 9am-6pm daily; No parking 6pm-9am daily"		yes	3/5/02	3/23/04			Implemented	320.87634339		320.87634339
"LINESTRING (-118.48030783313838 34.010306120542822,-118.47900214923469 34.011063045574026)"	553	PACIFIC ST	MM	"2 hour parking 7AM-9PM Mon-Fri; 2 hour parking 9AM-6PM Sat, except by permit."	North side of street only.	yes	3/5/02	3/23/04			Implemented	482.141155249	12/24/2012	482.141155249
"LINESTRING (-118.48112520528196 34.0109703269151,-118.47972719941914 34.011775351458532)"	554	GRANT ST	MM	"2 hour parking 7AM-9PM Mon-Fri; 2 hour parking 9AM-6PM Sat, except by permit."		yes	3/5/02	3/23/04			Implemented	515.104829303	02/28/11	515.104829303
"LINESTRING (-118.48194126067376 34.011626012675102,-118.48045037046825 34.012496863422697)"	555	BAY ST	MM	"2 hour parking 7AM-9PM Mon-Fri; 2 hour parking 9AM-6PM Sat, except by permit."		yes	3/5/02	3/23/04			Implemented	551.892108658		551.892108658
"LINESTRING (-118.48445478672069 34.015134666415477,-118.48387196299311 34.014636908681176)"	556	9TH ST	MM	"2 hour parking 9am-6pm daily; No parking 6pm-9am daily"		yes	3/5/02	3/23/04			Implemented	252.999906465		252.999906465
"LINESTRING (-118.48373288849844 34.014517639367895,-118.48193136614857 34.012967676082468)"	557	9TH ST	MM	"2 hour parking 9am-6pm daily; No parking 6pm-9am daily"		yes	3/5/02	3/23/04			Implemented	785.005125542		785.005125542
"LINESTRING (-118.48243825014376 34.029171879511132,-118.48105235307276 34.027992331041567)"	558	19TH ST	N	"No parking 9AM-2AM Monday-Saturday, and No parking 3PM-2AM Sunday, except by permit"		yes	10/9/90	11/28/06			Implemented	600.500786969		600.500786969
"LINESTRING (-118.48338160569777 34.028411827773851,-118.48199697791534 34.027225502854051)"	559	18TH ST	N	"No parking 9AM-2AM Monday-Saturday, No parking 3PM-2AM Sunday, except by permit"		yes	10/9/90	11/28/06			Implemented	602.000699916		602.000699916
"LINESTRING (-118.48589101186893 34.028976726289812,-118.48451147945677 34.027797770530384)"	560	17TH ST	N	"No parking 9AM-2AM Monday-Saturday, and No parking 3PM-2AM Sunday, except by permit"		yes	10/9/90	11/28/06			Implemented	598.999973443		598.999973443
"LINESTRING (-118.48526743631007 34.026869348409122,-118.48389719277692 34.02569631226784)"	561	16TH ST	N	"2 hour parking 9AM-9PM Mon-Fri, 3P-9PM Sat-Sun, except by permit."		yes	10/9/90				Implemented	595.500436315		595.500436315
"LINESTRING (-118.48683501290037 34.028210339495708,-118.48545952536503 34.027033866546319)"	562	16TH ST	N									597.500267392		597.500267392
"LINESTRING (-118.48621576116857 34.026105198427381,-118.48483745266148 34.024925287998414)"	563	15TH ST	N	"No parking 9AM-2AM Monday-Saturday, and No parking 3PM-2AM Sunday, except by permit"		yes	10/9/90	11/28/06			Implemented	599.000297396		599.000297396
"LINESTRING (-118.48778942254224 34.027448913968229,-118.4864046895821 34.026266524624191)"	564	15TH ST	N	"2 hour parking 9AM-9PM Mon-Fri, 3P-9PM Sat-Sun, except by permit."		yes	10/9/90				Implemented	601.000023947		601.000023947
"LINESTRING (-118.48242711530135 34.029328674168838,-118.48167302541208 34.029938902483153)"	565	ARIZONA AVE	N	"2 hour parking 9AM-9PM Mon-Fri, 3P-9PM Sat-Sun, except by permit."		yes	10/9/90				Implemented	318.625550488		318.625550488
"LINESTRING (-118.48716179380696 34.025337131229811,-118.48579125244702 34.024164356790763)"	566	14TH ST	N	"No parking 9AM-2AM Monday-Saturday, No parking 3PM-2AM Sunday, except by permit"		yes	10/9/90	11/28/06			Implemented	595.500424855		595.500424855
"LINESTRING (-118.48873634284833 34.026680114068959,-118.48735072231024 34.02549845593915)"	567	14TH ST	N	"No parking 9AM-2AM Monday-Saturday, No parking 3PM-2AM Sunday, except by permit"		yes	10/9/90	11/28/06			Implemented	601.000084964		601.000084964
"LINESTRING (-118.48715944050888 34.025492561124217,-118.48639918775257 34.026109797527624)"	568	ARIZONA AVE	N	"2 hour parking 9AM-9PM Mon-Fri, 3P-9PM Sat-Sun, except by permit."		no	10/9/90				Pre-approved (petition needed)	321.750163496		321.750163496
"LINESTRING (-118.48621281443896 34.02626110850732,-118.48545898762158 34.026876949054788)"	569	ARIZONA AVE	N									320.001504535		320.001504535
"LINESTRING (-118.48527320256355 34.027027778396814,-118.48451035180823 34.027641332315412)"	570	ARIZONA AVE	N	"No parking 9AM-2AM Monday-Saturday, No parking 3PM-2AM Sunday, except by permit"		yes	10/9/90	11/28/06			Implemented	321.378676976		321.378676976
"LINESTRING (-118.48400346097887 34.030514825532286,-118.48262372324119 34.02933025940338)"	571	19TH ST	N	"No parking 9AM-2AM Monday-Saturday, and No parking 3PM-2AM Sunday, except by permit"		yes	10/9/90	11/28/06			Implemented	600.502034064		600.502034064
"LINESTRING (-118.48495015437554 34.029746296198006,-118.48356391708286 34.02856701571524)"	572	18TH ST	N	"2 hour parking 9AM-9PM Mon-Fri, 3P-9PM Sat-Sun, except by permit."		yes	10/9/90				Implemented	600.501149146		600.501149146
"LINESTRING (-118.48337818161387 34.028560445361997,-118.48261908427102 34.029174755677346)"	573	ARIZONA AVE	N	"2 hour parking 9AM-9PM Mon-Fri, 3P-9PM Sat-Sun, except by permit."		yes	10/9/90				Implemented	320.75043611		320.75043611
"LINESTRING (-118.48432600617795 34.027639392650201,-118.48295085967443 34.02646265105966)"	574	17TH ST	N	"No parking 9AM-2AM Monday-Saturday, No parking 3PM-2AM Sunday, except by permit"		yes	10/9/90	11/28/06			Implemented	597.5002521		597.5002521
"LINESTRING (-118.484321018694 34.027795038606008,-118.48356545000138 34.028408420276442)"	575	ARIZONA AVE	N	"No parking 9AM-2AM Monday-Saturday, No parking 3PM-2AM Sunday, except by permit"		yes	10/9/90	11/28/06			Implemented	319.750107386		319.750107386
"LINESTRING (-118.47567906513605 34.011809532394459,-118.47487622062356 34.012277104287158)"	576	PEARL ST	NN	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."	Lies within zone L.	yes	5/26/98				Implemented	296.905614258		296.905614258
"LINESTRING (-118.47654722769097 34.01130426822774,-118.47567906513605 34.011809532394459)"	577	PEARL ST	NN	"No parking 8AM-8PM Mon-Thurs, 8AM-5PM Fri, except by permit."	Lies within zone L.	yes	5/26/98				Implemented	320.989916043		320.989916043
"LINESTRING (-118.48905921291659 34.02381001864569,-118.48768031157444 34.022630619231251)"	578	12TH ST	OO	"No parking 7AM-2AM daily, except by permit"	contained in XX	yes	1/19/99	11/14/00			Implemented	599.00031948		599.00031948
"LINESTRING (-118.48729050736428 34.002538652029621,-118.48727916681189 34.002517157433317,-118.48726209689343 34.002488802745191)"	579	BARNARD WAY	P									20.0874430789		20.0874430789
